property_id,date_id,owner_id,features_id,location_id,lastSalePrice,propertyTaxes,taxAssessments
97,77,88,91,115,174000.0,"{""2020"": {""year"": 2020, ""total"": 2144}, ""2022"": {""year"": 2022, ""total"": 2143}, ""2023"": {""year"": 2023, ""total"": 2219}}","{""2020"": {""year"": 2020, ""value"": 146335}, ""2021"": {""year"": 2021, ""value"": 148384}, ""2023"": {""year"": 2023, ""value"": 157421}}"
98,78,89,92,116,400000.0,"{""2021"": {""year"": 2021, ""total"": 6701}, ""2022"": {""year"": 2022, ""total"": 7495}}","{""2022"": {""year"": 2022, ""value"": 419200, ""land"": 217200, ""improvements"": 202000}, ""2023"": {""year"": 2023, ""value"": 448400, ""land"": 236200, ""improvements"": 212200}}"
99,79,90,93,117,30000.0,"{""2023"": {""year"": 2023, ""total"": 1327}}","{""2023"": {""year"": 2023, ""value"": 30180, ""land"": 3540, ""improvements"": 26640}}"
16,2,5,15,118,0.0,NaN,NaN
100,80,91,94,119,251800.0,"{""2022"": {""year"": 2022, ""total"": 4297}}","{""2022"": {""year"": 2022, ""value"": 213144}}"
101,78,92,95,120,399730.0,"{""2022"": {""year"": 2022, ""total"": 5985}, ""2023"": {""year"": 2023, ""total"": 6273}}","{""2023"": {""year"": 2023, ""value"": 162230}, ""2024"": {""year"": 2024, ""value"": 162230}}"
102,2,93,96,121,0.0,"{""2020"": {""year"": 2020, ""total"": 172}, ""2022"": {""year"": 2022, ""total"": 154}, ""2023"": {""year"": 2023, ""total"": 368}, ""2024"": {""year"": 2024, ""total"": 352}}","{""2020"": {""year"": 2020, ""value"": 51800, ""land"": 4000, ""improvements"": 47800}, ""2022"": {""year"": 2022, ""value"": 51800, ""land"": 4000, ""improvements"": 47800}, ""2023"": {""year"": 2023, ""value"": 73780, ""land"": 6360, ""improvements"": 67420}, ""2024"": {""year"": 2024, ""value"": 73780, ""land"": 6360, ""improvements"": 67420}}"
103,81,94,97,122,51000.0,"{""2022"": {""year"": 2022, ""total"": 1182}, ""2023"": {""year"": 2023, ""total"": 1121}, ""2024"": {""year"": 2024, ""total"": 1064}}","{""2022"": {""year"": 2022, ""value"": 9760, ""land"": 2220, ""improvements"": 7540}, ""2023"": {""year"": 2023, ""value"": 10620, ""land"": 740, ""improvements"": 9880}, ""2024"": {""year"": 2024, ""value"": 10620, ""land"": 740, ""improvements"": 9880}}"
104,82,95,98,123,123000.0,"{""2023"": {""year"": 2023, ""total"": 2946}}","{""2023"": {""year"": 2023, ""value"": 38160, ""land"": 3520, ""improvements"": 34640}}"
16,2,5,15,124,0.0,NaN,NaN
105,2,96,99,125,0.0,"{""2019"": {""year"": 2019, ""total"": 21532}, ""2023"": {""year"": 2023, ""total"": 20986}}","{""2019"": {""year"": 2019, ""value"": 979600, ""land"": 311200, ""improvements"": 668400}, ""2023"": {""year"": 2023, ""value"": 1237400, ""land"": 435700, ""improvements"": 801700}}"
16,2,5,15,126,0.0,NaN,NaN
106,83,97,100,127,260000.0,"{""2018"": {""year"": 2018, ""total"": 9812}, ""2020"": {""year"": 2020, ""total"": 10410}, ""2021"": {""year"": 2021, ""total"": 10580}, ""2022"": {""year"": 2022, ""total"": 10782}}","{""2019"": {""year"": 2019, ""value"": 243000, ""land"": 140000, ""improvements"": 103000}, ""2020"": {""year"": 2020, ""value"": 243000, ""land"": 140000, ""improvements"": 103000}, ""2022"": {""year"": 2022, ""value"": 243000, ""land"": 140000, ""improvements"": 103000}, ""2023"": {""year"": 2023, ""value"": 243000, ""land"": 140000, ""improvements"": 103000}}"
16,2,5,15,128,0.0,NaN,NaN
107,2,98,101,129,0.0,"{""2017"": {""year"": 2017, ""total"": 1546}, ""2019"": {""year"": 2019, ""total"": 982}, ""2021"": {""year"": 2021, ""total"": 956}, ""2023"": {""year"": 2023, ""total"": 949}}","{""2017"": {""year"": 2017, ""value"": 8820, ""land"": 2135, ""improvements"": 6685}, ""2019"": {""year"": 2019, ""value"": 9345, ""land"": 1610, ""improvements"": 7735}, ""2021"": {""year"": 2021, ""value"": 10220, ""land"": 1680, ""improvements"": 8540}, ""2023"": {""year"": 2023, ""value"": 10220, ""land"": 1680, ""improvements"": 8540}}"
108,84,99,102,130,670000.0,"{""2022"": {""year"": 2022, ""total"": 2752}, ""2023"": {""year"": 2023, ""total"": 2584}}","{""2022"": {""year"": 2022, ""value"": 74050, ""land"": 39130, ""improvements"": 34920}, ""2023"": {""year"": 2023, ""value"": 84733, ""land"": 47425, ""improvements"": 37308}}"
109,85,100,103,131,300.0,"{""2022"": {""year"": 2022, ""total"": 321}, ""2023"": {""year"": 2023, ""total"": 257}}","{""2022"": {""year"": 2022, ""value"": 600, ""land"": 600}, ""2023"": {""year"": 2023, ""value"": 483, ""land"": 483}}"
5,86,5,5,132,12000.0,NaN,NaN
110,87,101,104,133,92000.0,"{""2019"": {""year"": 2019, ""total"": 1850}, ""2021"": {""year"": 2021, ""total"": 1909}, ""2022"": {""year"": 2022, ""total"": 1924}, ""2023"": {""year"": 2023, ""total"": 1978}}","{""2019"": {""year"": 2019, ""value"": 154736, ""land"": 77856, ""improvements"": 76880}, ""2021"": {""year"": 2021, ""value"": 159464, ""land"": 80235, ""improvements"": 79229}, ""2022"": {""year"": 2022, ""value"": 162652, ""land"": 81839, ""improvements"": 80813}, ""2023"": {""year"": 2023, ""value"": 165904, ""land"": 83475, ""improvements"": 82429}}"
16,2,5,15,134,0.0,NaN,NaN
111,88,102,105,135,0.0,"{""2022"": {""year"": 2022, ""total"": 129}}","{""2022"": {""year"": 2022, ""value"": 159310, ""land"": 42896, ""improvements"": 116414}, ""2023"": {""year"": 2023, ""value"": 180016, ""land"": 49251, ""improvements"": 130765}}"
112,2,5,26,136,0.0,NaN,NaN
113,2,103,106,137,0.0,"{""2023"": {""year"": 2023, ""total"": 841}}","{""2023"": {""year"": 2023, ""value"": 47500, ""land"": 4400, ""improvements"": 43100}}"
114,89,104,107,138,113000.0,"{""2023"": {""year"": 2023, ""total"": 3191}}","{""2023"": {""year"": 2023, ""value"": 90000, ""land"": 10600, ""improvements"": 79400}}"
115,2,105,108,139,0.0,"{""2022"": {""year"": 2022, ""total"": 3260}, ""2023"": {""year"": 2023, ""total"": 3289}}","{""2022"": {""year"": 2022, ""value"": 146474, ""land"": 31355, ""improvements"": 115119}, ""2023"": {""year"": 2023, ""value"": 149403, ""land"": 31982, ""improvements"": 117421}}"
116,90,106,109,140,300500.0,"{""2022"": {""year"": 2022, ""total"": 3408}, ""2023"": {""year"": 2023, ""total"": 3534}, ""2024"": {""year"": 2024, ""total"": 4790}}","{""2022"": {""year"": 2022, ""value"": 335603, ""land"": 104000, ""improvements"": 231603}, ""2023"": {""year"": 2023, ""value"": 335603, ""land"": 104000, ""improvements"": 231603}, ""2024"": {""year"": 2024, ""value"": 552356, ""land"": 190000, ""improvements"": 362356}}"
117,91,107,110,141,195000.0,"{""2019"": {""year"": 2019, ""total"": 3670}, ""2020"": {""year"": 2020, ""total"": 2676}, ""2021"": {""year"": 2021, ""total"": 3795}, ""2023"": {""year"": 2023, ""total"": 4781}}","{""2019"": {""year"": 2019, ""value"": 109320, ""land"": 13800, ""improvements"": 95520}, ""2020"": {""year"": 2020, ""value"": 94800, ""land"": 13800, ""improvements"": 81000}, ""2021"": {""year"": 2021, ""value"": 94800, ""land"": 13800, ""improvements"": 81000}, ""2023"": {""year"": 2023, ""value"": 169400, ""land"": 38520, ""improvements"": 130880}, ""2024"": {""year"": 2024, ""value"": 38520, ""land"": 38520}}"
118,92,108,111,142,155000.0,"{""2022"": {""year"": 2022, ""total"": 1093}, ""2023"": {""year"": 2023, ""total"": 1107}}","{""2022"": {""year"": 2022, ""value"": 12050, ""land"": 3890, ""improvements"": 8160}, ""2023"": {""year"": 2023, ""value"": 12050, ""land"": 3890, ""improvements"": 8160}}"
119,93,109,112,143,0.0,"{""2023"": {""year"": 2023, ""total"": 1229}}","{""2023"": {""year"": 2023, ""value"": 122900, ""land"": 13400, ""improvements"": 109500}}"
120,94,110,113,144,89000.0,"{""2021"": {""year"": 2021, ""total"": 635}}","{""2022"": {""year"": 2022, ""value"": 50400, ""land"": 11220, ""improvements"": 39180}}"
46,2,5,44,145,0.0,NaN,NaN
121,95,111,26,146,128000.0,"{""2023"": {""year"": 2023, ""total"": 567}}","{""2023"": {""year"": 2023, ""value"": 12591, ""land"": 3220, ""improvements"": 9371}}"
122,96,112,114,147,0.0,"{""2023"": {""year"": 2023, ""total"": 2369}}","{""2023"": {""year"": 2023, ""value"": 44400, ""land"": 4750, ""improvements"": 39650}}"
123,97,113,115,148,0.0,"{""2022"": {""year"": 2022, ""total"": 2299}, ""2023"": {""year"": 2023, ""total"": 2299}}","{""2022"": {""year"": 2022, ""value"": 274445, ""land"": 58319, ""improvements"": 216126}, ""2023"": {""year"": 2023, ""value"": 333789, ""land"": 58319, ""improvements"": 275470}, ""2024"": {""year"": 2024, ""value"": 317066, ""land"": 72315, ""improvements"": 244751}}"
124,89,5,26,149,5200000.0,NaN,NaN
125,2,114,116,150,0.0,"{""2020"": {""year"": 2020, ""total"": 528}}","{""2019"": {""year"": 2019, ""value"": 9430, ""land"": 3970, ""improvements"": 5460}, ""2023"": {""year"": 2023, ""value"": 9430, ""land"": 3970, ""improvements"": 5460}}"
126,2,115,117,151,0.0,"{""2022"": {""year"": 2022, ""total"": 5263}, ""2024"": {""year"": 2024, ""total"": 8865}}","{""2022"": {""year"": 2022, ""value"": 653000, ""land"": 517600, ""improvements"": 135400}, ""2024"": {""year"": 2024, ""value"": 725267}}"
127,98,116,85,152,0.0,"{""2022"": {""year"": 2022, ""total"": 3162}}","{""2022"": {""year"": 2022, ""value"": 175609, ""land"": 37962, ""improvements"": 137647}}"
128,99,117,118,153,0.0,"{""2022"": {""year"": 2022, ""total"": 2853}, ""2023"": {""year"": 2023, ""total"": 4189}}","{""2022"": {""year"": 2022, ""value"": 109994, ""land"": 27972, ""improvements"": 82022}, ""2023"": {""year"": 2023, ""value"": 182590, ""land"": 43155, ""improvements"": 139435}}"
129,2,5,26,154,0.0,NaN,NaN
130,100,118,119,155,0.0,"{""2021"": {""year"": 2021, ""total"": 3859}, ""2023"": {""year"": 2023, ""total"": 3990}}","{""2022"": {""year"": 2022, ""value"": 423638, ""land"": 68500, ""improvements"": 355138}, ""2023"": {""year"": 2023, ""value"": 427138, ""land"": 72000, ""improvements"": 355138}}"
131,101,119,120,156,449950.0,"{""2023"": {""year"": 2023, ""total"": 4338}, ""2024"": {""year"": 2024, ""total"": 4261}}","{""2023"": {""year"": 2023, ""value"": 419600, ""land"": 188200, ""improvements"": 231400}, ""2024"": {""year"": 2024, ""value"": 399800, ""land"": 172900, ""improvements"": 226900}}"
132,102,120,121,157,155000.0,"{""2022"": {""year"": 2022, ""total"": 3897}, ""2023"": {""year"": 2023, ""total"": 4080}, ""2024"": {""year"": 2024, ""total"": 4241}}","{""2022"": {""year"": 2022, ""value"": 122920, ""land"": 47040, ""improvements"": 75880}, ""2023"": {""year"": 2023, ""value"": 122920, ""land"": 47040, ""improvements"": 75880}, ""2024"": {""year"": 2024, ""value"": 122920, ""land"": 47040, ""improvements"": 75880}}"
16,103,5,15,158,1976355.0,NaN,NaN
133,104,121,122,159,302500.0,"{""2022"": {""year"": 2022, ""total"": 11784}}","{""2022"": {""year"": 2022, ""value"": 780380, ""land"": 99451, ""improvements"": 680929}}"
16,2,5,15,160,0.0,NaN,NaN
134,105,122,123,161,347000.0,"{""2020"": {""year"": 2020, ""total"": 4198}, ""2023"": {""year"": 2023, ""total"": 3855}}","{""2019"": {""year"": 2019, ""value"": 240000, ""land"": 73000, ""improvements"": 167000}, ""2023"": {""year"": 2023, ""value"": 341700, ""land"": 105000, ""improvements"": 236700}}"
135,106,123,124,162,152000.0,"{""2022"": {""year"": 2022, ""total"": 4112}, ""2023"": {""year"": 2023, ""total"": 4601}}","{""2021"": {""year"": 2021, ""value"": 79280, ""land"": 39240, ""improvements"": 40040}, ""2022"": {""year"": 2022, ""value"": 79280, ""land"": 39240, ""improvements"": 40040}, ""2023"": {""year"": 2023, ""value"": 102520, ""land"": 54290, ""improvements"": 48230}}"
136,107,124,125,163,305000.0,"{""2020"": {""year"": 2020, ""total"": 7190}, ""2023"": {""year"": 2023, ""total"": 10079}}","{""2019"": {""year"": 2019, ""value"": 355000, ""land"": 86000, ""improvements"": 269000}, ""2023"": {""year"": 2023, ""value"": 562200, ""land"": 189800, ""improvements"": 372400}}"
137,108,125,126,164,400000.0,"{""2021"": {""year"": 2021, ""total"": 6922}, ""2022"": {""year"": 2022, ""total"": 6896}, ""2023"": {""year"": 2023, ""total"": 6910}}","{""2022"": {""year"": 2022, ""value"": 344300, ""land"": 71400, ""improvements"": 272900}, ""2023"": {""year"": 2023, ""value"": 408900, ""land"": 86200, ""improvements"": 322700}, ""2024"": {""year"": 2024, ""value"": 408900, ""land"": 86200, ""improvements"": 322700}}"
138,109,126,127,165,159000.0,"{""2020"": {""year"": 2020, ""total"": 4971}, ""2022"": {""year"": 2022, ""total"": 5175}, ""2023"": {""year"": 2023, ""total"": 5562}}","{""2020"": {""year"": 2020, ""value"": 483500, ""land"": 283000, ""improvements"": 200500}, ""2022"": {""year"": 2022, ""value"": 566700, ""land"": 339000, ""improvements"": 227700}, ""2023"": {""year"": 2023, ""value"": 743600, ""land"": 475000, ""improvements"": 268600}}"
16,2,5,15,166,0.0,NaN,NaN
139,2,5,128,167,0.0,NaN,NaN
16,2,5,15,168,0.0,NaN,NaN
16,2,5,15,169,0.0,NaN,NaN
16,2,5,15,170,0.0,NaN,NaN
140,110,5,26,171,153000.0,NaN,NaN
141,111,127,129,172,220000.0,"{""2022"": {""year"": 2022, ""total"": 926}}","{""2021"": {""year"": 2021, ""value"": 40887}}"
16,2,5,15,173,0.0,NaN,NaN
142,112,128,130,174,805000.0,"{""2022"": {""year"": 2022, ""total"": 829}, ""2023"": {""year"": 2023, ""total"": 8899}}","{""2023"": {""year"": 2023, ""value"": 805000, ""land"": 523500, ""improvements"": 281500}}"
16,2,5,15,175,0.0,NaN,NaN
143,113,129,131,176,0.0,"{""2018"": {""year"": 2018, ""total"": 877}, ""2021"": {""year"": 2021, ""total"": 995}, ""2022"": {""year"": 2022, ""total"": 1151}}","{""2019"": {""year"": 2019, ""value"": 103200, ""land"": 23600, ""improvements"": 79600}, ""2022"": {""year"": 2022, ""value"": 134400, ""land"": 28900, ""improvements"": 105500}, ""2023"": {""year"": 2023, ""value"": 154500, ""land"": 34300, ""improvements"": 120200}}"
16,2,5,15,177,0.0,NaN,NaN
144,114,130,132,178,94500.0,"{""2020"": {""year"": 2020, ""total"": 602}, ""2022"": {""year"": 2022, ""total"": 583}}","{""2021"": {""year"": 2021, ""value"": 6770, ""land"": 2950, ""improvements"": 3820}, ""2023"": {""year"": 2023, ""value"": 8820, ""land"": 4960, ""improvements"": 3860}}"
145,2,131,133,179,0.0,"{""2023"": {""year"": 2023, ""total"": 4458}}","{""2023"": {""year"": 2023, ""value"": 352791, ""land"": 183603, ""improvements"": 169188}}"
146,115,132,134,180,0.0,"{""2022"": {""year"": 2022, ""total"": 3795}}","{""2022"": {""year"": 2022, ""value"": 362126, ""land"": 110000, ""improvements"": 252126}, ""2023"": {""year"": 2023, ""value"": 443314, ""land"": 120000, ""improvements"": 323314}}"
147,116,133,135,181,210336.0,"{""2022"": {""year"": 2022, ""total"": 1156}, ""2023"": {""year"": 2023, ""total"": 1156}}","{""2022"": {""year"": 2022, ""value"": 74375}, ""2023"": {""year"": 2023, ""value"": 74375}}"
148,117,86,136,182,0.0,NaN,NaN
16,2,5,15,183,0.0,NaN,NaN
16,118,5,15,184,200000.0,NaN,NaN
16,2,5,15,185,0.0,NaN,NaN
149,2,134,137,186,0.0,"{""2021"": {""year"": 2021, ""total"": 342}, ""2022"": {""year"": 2022, ""total"": 321}}","{""2021"": {""year"": 2021, ""value"": 23570, ""land"": 5000, ""improvements"": 18570}, ""2022"": {""year"": 2022, ""value"": 23570, ""land"": 5000, ""improvements"": 18570}, ""2023"": {""year"": 2023, ""value"": 36370, ""land"": 5550, ""improvements"": 30820}}"
150,119,135,138,187,550005.0,"{""2020"": {""year"": 2020, ""total"": 5184}, ""2023"": {""year"": 2023, ""total"": 6730}}","{""2020"": {""year"": 2020, ""value"": 429003, ""land"": 77996, ""improvements"": 351007}, ""2023"": {""year"": 2023, ""value"": 550000, ""land"": 417700, ""improvements"": 132300}}"
151,120,136,139,188,69700.0,"{""2022"": {""year"": 2022, ""total"": 1780}, ""2023"": {""year"": 2023, ""total"": 2370}}","{""2021"": {""year"": 2021, ""value"": 29020, ""land"": 5410, ""improvements"": 23610}, ""2022"": {""year"": 2022, ""value"": 29020, ""land"": 5410, ""improvements"": 23610}, ""2023"": {""year"": 2023, ""value"": 50200, ""land"": 6610, ""improvements"": 43590}}"
152,121,137,140,189,162000.0,"{""2022"": {""year"": 2022, ""total"": 1979}, ""2023"": {""year"": 2023, ""total"": 2117}}","{""2022"": {""year"": 2022, ""value"": 132365}, ""2023"": {""year"": 2023, ""value"": 136336}}"
153,2,5,44,190,0.0,NaN,NaN
154,122,138,141,191,599000.0,"{""2023"": {""year"": 2023, ""total"": 2960}}","{""2023"": {""year"": 2023, ""value"": 562700, ""land"": 127000, ""improvements"": 435700}}"
155,123,139,142,192,330000.0,"{""2022"": {""year"": 2022, ""total"": 6072}}","{""2022"": {""year"": 2022, ""value"": 501970, ""land"": 125559, ""improvements"": 376411}}"
156,124,140,143,193,245000.0,"{""2023"": {""year"": 2023, ""total"": 4713}, ""2024"": {""year"": 2024, ""total"": 6891}}","{""2023"": {""year"": 2023, ""value"": 190310, ""land"": 36070, ""improvements"": 154240}, ""2024"": {""year"": 2024, ""value"": 190310, ""land"": 36070, ""improvements"": 154240}}"
157,2,141,144,194,0.0,"{""2022"": {""year"": 2022, ""total"": 8232}, ""2024"": {""year"": 2024, ""total"": 8377}, ""2025"": {""year"": 2025, ""total"": 8377}}","{""2022"": {""year"": 2022, ""value"": 913600, ""land"": 324100, ""improvements"": 589500}, ""2024"": {""year"": 2024, ""value"": 983200, ""land"": 381500, ""improvements"": 601700}, ""2025"": {""year"": 2025, ""value"": 983200, ""land"": 381500, ""improvements"": 601700}}"
158,125,142,145,195,0.0,"{""2021"": {""year"": 2021, ""total"": 8697}, ""2022"": {""year"": 2022, ""total"": 5439}, ""2023"": {""year"": 2023, ""total"": 4702}}","{""2021"": {""year"": 2021, ""value"": 276430, ""land"": 52670, ""improvements"": 223760}, ""2022"": {""year"": 2022, ""value"": 304070, ""land"": 68000, ""improvements"": 302030}, ""2023"": {""year"": 2023, ""value"": 334480, ""land"": 68000, ""improvements"": 339300}}"
159,126,5,26,196,398551.0,NaN,NaN
160,127,143,146,197,224900.0,"{""2020"": {""year"": 2020, ""total"": 2722}, ""2022"": {""year"": 2022, ""total"": 2807}, ""2023"": {""year"": 2023, ""total"": 2918}, ""2024"": {""year"": 2024, ""total"": 3123}}","{""2019"": {""year"": 2019, ""value"": 182360}, ""2020"": {""year"": 2020, ""value"": 186554}, ""2021"": {""year"": 2021, ""value"": 189166}, ""2022"": {""year"": 2022, ""value"": 194841}, ""2023"": {""year"": 2023, ""value"": 200686}, ""2024"": {""year"": 2024, ""value"": 206707}}"
16,2,5,15,198,0.0,NaN,NaN
161,2,5,44,199,0.0,NaN,NaN
162,128,144,147,200,750000.0,"{""2022"": {""year"": 2022, ""total"": 10175}, ""2023"": {""year"": 2023, ""total"": 10238}, ""2024"": {""year"": 2024, ""total"": 10489}}","{""2022"": {""year"": 2022, ""value"": 916619, ""land"": 488029, ""improvements"": 428590}, ""2023"": {""year"": 2023, ""value"": 934951, ""land"": 497790, ""improvements"": 437161}, ""2024"": {""year"": 2024, ""value"": 953650, ""land"": 507746, ""improvements"": 445904}}"
163,129,145,148,201,299500.0,"{""2020"": {""year"": 2020, ""total"": 6144}, ""2022"": {""year"": 2022, ""total"": 5810}, ""2023"": {""year"": 2023, ""total"": 6178}}","{""2020"": {""year"": 2020, ""value"": 204262, ""land"": 37000, ""improvements"": 167262}, ""2021"": {""year"": 2021, ""value"": 216801, ""land"": 43000, ""improvements"": 173801}, ""2022"": {""year"": 2022, ""value"": 223305}, ""2023"": {""year"": 2023, ""value"": 230004}}"
164,130,146,149,202,1085000.0,"{""2021"": {""year"": 2021, ""total"": 28369}, ""2022"": {""year"": 2022, ""total"": 28802}, ""2023"": {""year"": 2023, ""total"": 33726}}","{""2021"": {""year"": 2021, ""value"": 425010, ""land"": 73500, ""improvements"": 351510}, ""2022"": {""year"": 2022, ""value"": 434140, ""land"": 73500, ""improvements"": 360640}, ""2023"": {""year"": 2023, ""value"": 641170, ""land"": 73500, ""improvements"": 567670}}"
165,2,147,26,203,0.0,"{""2021"": {""year"": 2021, ""total"": 1659}, ""2023"": {""year"": 2023, ""total"": 1647}}","{""2021"": {""year"": 2021, ""value"": 171000}, ""2023"": {""year"": 2023, ""value"": 171000}}"
166,131,148,150,204,350000.0,"{""2022"": {""year"": 2022, ""total"": 3612}, ""2023"": {""year"": 2023, ""total"": 4051}}","{""2022"": {""year"": 2022, ""value"": 345600, ""land"": 155000, ""improvements"": 190600}, ""2023"": {""year"": 2023, ""value"": 370933}, ""2024"": {""year"": 2024, ""value"": 396267}}"
167,132,149,151,205,995000.0,"{""2022"": {""year"": 2022, ""total"": 8804}}","{""2022"": {""year"": 2022, ""value"": 781900, ""land"": 271100, ""improvements"": 510800}, ""2023"": {""year"": 2023, ""value"": 859800}}"
168,133,150,152,206,72250.0,"{""2019"": {""year"": 2019, ""total"": 544}, ""2020"": {""year"": 2020, ""total"": 581}, ""2022"": {""year"": 2022, ""total"": 676}, ""2023"": {""year"": 2023, ""total"": 730}}","{""2020"": {""year"": 2020, ""value"": 31173, ""land"": 18900, ""improvements"": 12273}, ""2021"": {""year"": 2021, ""value"": 33619, ""land"": 21000, ""improvements"": 12619}, ""2023"": {""year"": 2023, ""value"": 41402, ""land"": 26250, ""improvements"": 15152}, ""2024"": {""year"": 2024, ""value"": 41848, ""land"": 25200, ""improvements"": 16648}}"
169,134,151,153,207,151000.0,"{""2022"": {""year"": 2022, ""total"": 3015}, ""2023"": {""year"": 2023, ""total"": 3056}}","{""2023"": {""year"": 2023, ""value"": 91800, ""land"": 20100, ""improvements"": 71700}, ""2024"": {""year"": 2024, ""value"": 91800, ""land"": 20100, ""improvements"": 71700}}"
170,135,152,154,208,31000.0,"{""2022"": {""year"": 2022, ""total"": 806}, ""2023"": {""year"": 2023, ""total"": 838}}","{""2023"": {""year"": 2023, ""value"": 32400, ""land"": 26800, ""improvements"": 5600}, ""2024"": {""year"": 2024, ""value"": 32400, ""land"": 26800, ""improvements"": 5600}}"
171,136,153,155,209,340000.0,"{""2019"": {""year"": 2019, ""total"": 7592}, ""2024"": {""year"": 2024, ""total"": 10170}}","{""2019"": {""year"": 2019, ""value"": 348689, ""land"": 84000, ""improvements"": 264689}, ""2024"": {""year"": 2024, ""value"": 539189, ""land"": 220203, ""improvements"": 318986}}"
172,2,154,156,210,0.0,"{""2022"": {""year"": 2022, ""total"": 5864}, ""2023"": {""year"": 2023, ""total"": 6036}, ""2024"": {""year"": 2024, ""total"": 6147}}","{""2022"": {""year"": 2022, ""value"": 200680, ""land"": 40000, ""improvements"": 160680}, ""2023"": {""year"": 2023, ""value"": 234788, ""land"": 42000, ""improvements"": 192788}, ""2024"": {""year"": 2024, ""value"": 246896, ""land"": 47600, ""improvements"": 199296}}"
173,137,155,157,211,93500.0,"{""2022"": {""year"": 2022, ""total"": 1642}, ""2023"": {""year"": 2023, ""total"": 1770}}","{""2022"": {""year"": 2022, ""value"": 14963, ""land"": 2984, ""improvements"": 11979}, ""2023"": {""year"": 2023, ""value"": 15412, ""land"": 2510, ""improvements"": 12902}}"
174,138,156,158,212,275000.0,"{""2020"": {""year"": 2020, ""total"": 2751}, ""2022"": {""year"": 2022, ""total"": 2861}, ""2023"": {""year"": 2023, ""total"": 3066}}","{""2019"": {""year"": 2019, ""value"": 199969}, ""2022"": {""year"": 2022, ""value"": 213653}, ""2023"": {""year"": 2023, ""value"": 220062}}"
175,139,157,159,213,10400000.0,"{""2020"": {""year"": 2020, ""total"": 1998}, ""2022"": {""year"": 2022, ""total"": 2253}}","{""2020"": {""year"": 2020, ""value"": 21168, ""land"": 285, ""improvements"": 20883}, ""2022"": {""year"": 2022, ""value"": 24130, ""land"": 285, ""improvements"": 23845}}"
176,2,5,160,214,0.0,NaN,NaN
177,140,158,161,215,240000.0,"{""2022"": {""year"": 2022, ""total"": 3525}, ""2023"": {""year"": 2023, ""total"": 3760}, ""2024"": {""year"": 2024, ""total"": 3893}}","{""2022"": {""year"": 2022, ""value"": 220945, ""land"": 16666, ""improvements"": 204279}, ""2023"": {""year"": 2023, ""value"": 226953, ""land"": 25345, ""improvements"": 201608}, ""2024"": {""year"": 2024, ""value"": 233762}}"
178,141,159,162,216,289000.0,"{""2020"": {""year"": 2020, ""total"": 3416}, ""2022"": {""year"": 2022, ""total"": 4519}, ""2023"": {""year"": 2023, ""total"": 4489}}","{""2020"": {""year"": 2020, ""value"": 112552, ""land"": 26000, ""improvements"": 86552}, ""2022"": {""year"": 2022, ""value"": 148892, ""land"": 36000, ""improvements"": 112892}, ""2023"": {""year"": 2023, ""value"": 148892, ""land"": 36000, ""improvements"": 112892}}"
179,142,160,163,217,7100.0,"{""2023"": {""year"": 2023, ""total"": 687}}","{""2023"": {""year"": 2023, ""value"": 117920, ""land"": 53500, ""improvements"": 64420}}"
16,2,5,15,218,0.0,NaN,NaN
180,143,161,164,219,178000.0,"{""2023"": {""year"": 2023, ""total"": 1951}}","{""2023"": {""year"": 2023, ""value"": 172870, ""land"": 35000, ""improvements"": 137870}}"
181,2,162,165,220,0.0,"{""2022"": {""year"": 2022, ""total"": 4941}, ""2023"": {""year"": 2023, ""total"": 4027}}","{""2022"": {""year"": 2022, ""value"": 183451, ""land"": 63000, ""improvements"": 120451}, ""2024"": {""year"": 2024, ""value"": 218584, ""land"": 63000, ""improvements"": 155584}}"
182,144,5,26,221,482000.0,NaN,NaN
183,145,163,166,222,286500.0,"{""2020"": {""year"": 2020, ""total"": 2055}, ""2021"": {""year"": 2021, ""total"": 1971}, ""2022"": {""year"": 2022, ""total"": 3433}, ""2023"": {""year"": 2023, ""total"": 3353}, ""2024"": {""year"": 2024, ""total"": 3645}}","{""2020"": {""year"": 2020, ""value"": 150917}, ""2021"": {""year"": 2021, ""value"": 153029}, ""2022"": {""year"": 2022, ""value"": 219270}, ""2023"": {""year"": 2023, ""value"": 245683}, ""2024"": {""year"": 2024, ""value"": 251303, ""land"": 62000, ""improvements"": 189303}}"
184,2,164,167,223,0.0,"{""2022"": {""year"": 2022, ""total"": 819}, ""2023"": {""year"": 2023, ""total"": 943}}","{""2021"": {""year"": 2021, ""value"": 18740, ""land"": 2510, ""improvements"": 16230}, ""2022"": {""year"": 2022, ""value"": 19860, ""land"": 2260, ""improvements"": 17600}, ""2023"": {""year"": 2023, ""value"": 21290, ""land"": 2420, ""improvements"": 18870}}"
185,146,165,168,224,0.0,"{""2023"": {""year"": 2023, ""total"": 7565}}","{""2022"": {""year"": 2022, ""value"": 423500, ""land"": 107400, ""improvements"": 316100}, ""2023"": {""year"": 2023, ""value"": 444200, ""land"": 107400, ""improvements"": 336800}}"
186,147,166,169,225,318600.0,"{""2022"": {""year"": 2022, ""total"": 7612}, ""2024"": {""year"": 2024, ""total"": 7956}}","{""2022"": {""year"": 2022, ""value"": 322100, ""land"": 57400, ""improvements"": 264700}, ""2024"": {""year"": 2024, ""value"": 322100, ""land"": 57400, ""improvements"": 264700}}"
